x, y, Potential, x-field, y-field, z-field
 39, 63, 0.14407460678142076, -0.6431700452053963, 0.7657092110259158, 0.0046580146584046965
 39, 64, 0.1375932636490913, -0.6143524885188423, 0.7890170989725476, 0.004799727039203278
 39, 65, 0.13126580536412197, -0.5870668883799276, 0.80952338019165, 0.0049361413062232835
 39, 66, 0.12510989382358673, -0.5612595754635791, 0.827624327282335, 0.005065751761125869
 39, 67, 0.11913661149625746, -0.5368502823261478, 0.8436615837147664, 0.005187150492087589
 39, 68, 0.11335197728919488, -0.5137428229143699, 0.8579278712898243, 0.005299015765675239
 39, 69, 0.10775815711544101, -0.49183260097194553, 0.8706730336506789, 0.0054001013596587455
 39, 70, 0.1023544178261162, -0.4710117544895665, 0.882109854563944, 0.0054892270710700936
 39, 71, 0.09713787135183982, -0.45117258276383887, 0.8924193679685452, 0.005565270598013338
 39, 72, 0.09210405060521559, -0.43220975314378507, 0.9017555457810741, 0.005627160959645716
 39, 73, 0.08724735227011546, -0.4140216591988828, 0.9102493465378876, 0.005673873593299697
 39, 74, 0.08256137527149394, -0.3965112029464115, 0.9180121597493849, 0.005704427250778492
 39, 75, 0.07803917804706241, -0.3795861982532924, 0.9251387052284843, 0.0057178828053691365
 39, 76, 0.07367347292573158, -0.36315953633319054, 0.9317094551789012, 0.0057133440730455865
 39, 77, 0.0694567719622909, -0.34714921308793806, 0.937792646697117, 0.005689960741661701
 39, 78, 0.06538149539994773, -0.3314782881395816, 0.9434459479134195, 0.005646933486552308
 39, 79, 0.06144005141693995, -0.31607482372617574, 0.9487178348150029, 0.005583521326172698
 39, 80, 0.057624893842627034, -0.30087183583448307, 0.9536487292693876, 0.0054990512336518405
 39, 81, 0.053928562995138, -0.285807278238851, 0.9582719426196671, 0.0053929299670457545
 39, 82, 0.05034371360535253, -0.2708240711969982, 0.9626144637581147, 0.005264658009854512
 39, 83, 0.04686313287548223, -0.25587017947440593, 0.9666976258586327, 0.005113845423774407
 39, 84, 0.0434797510143985, -0.24089873847121815, 0.9705376818740052, 0.0049402293072159835
 39, 85, 0.04018664604839735, -0.22586822208036564, 0.9741463153122308, 0.004743692428734496
 39, 86, 0.036977044288001366, -0.21074264127223924, 0.9775311094884638, 0.004524282468330104
 39, 87, 0.0338443175097449, -0.19549175820001385, 0.9806959951851373, 0.0042822311591741305
 39, 88, 0.03078197766434391, -0.180091296907277, 0.9836416932376048, 0.004017972487812693
 39, 89, 0.027783669732044186, -0.16452312866656155, 0.9863661648307891, 0.0037321589953528285
 39, 90, 0.02484316319909043, -0.1487754078415592, 0.9888650781433264, 0.0034256751408285042
 39, 91, 0.021954342516060883, -0.13284263325293874, 0.9911322953980604, 0.0030996466568057354
 39, 92, 0.01911119681152751, -0.11672561064679822, 0.9931603794668541, 0.002755444861821691
 39, 93, 0.016307809067205293, -0.10043129426839281, 0.9949411141445983, 0.0023946850065362712
 39, 94, 0.013538344908909764, -0.08397248986874647, 0.9964660273708313, 0.0020192179269883153
 39, 95, 0.010797041127781204, -0.06736740768047056, 0.997726902437592, 0.0016311145578664396
 39, 96, 0.008078194015709946, -0.05063906173906197, 0.9987162590129918, 0.0012326432096520078
 39, 97, 0.0053761475756954925, -0.03381452091452064, 0.9994277840359074, 0.000826239914875734
 39, 98, 0.0026852816504721096, -0.016924026465607218, 0.9998566925018209, 0.0004144725696249167
 40, 1, 0.00260454126783335, -0.015093042085241868, -0.9998860061350653, 0.00041810989149750207
 40, 2, 0.005214614463687918, -0.030156644670083783, -0.999544837404888, 0.0008335463264597667
 40, 3, 0.00783576509229568, -0.04516232710669745, -0.9989788873990822, 0.0012436805053611902
 40, 4, 0.010473565841630263, -0.060083492877909726, -0.9981919978954147, 0.0016459711876548363
 40, 5, 0.013133630247803278, -0.07489629018967314, -0.997189245958197, 0.002038004206732976
 40, 6, 0.015821626444210053, -0.08958038142845416, -0.9959766617875018, 0.002417527198826073
 40, 7, 0.01854329101652938, -0.10411960140469387, -0.9945608912564977, 0.0027824784650865644
 40, 8, 0.02130444297891452, -0.11850249174302575, -0.9929488185358403, 0.003131009257925538
 40, 9, 0.024110997877921092, -0.13272270658828303, -0.9911471642391748, 0.0034614991726909647
 40, 10, 0.02696898201865572, -0.14677929230539863, -0.989162073224557, 0.0037725647009169095
 40, 11, 0.029884546791285608, -0.16067685050106206, -0.9869987037710155, 0.0040630613328657365
 40, 12, 0.032863983054061935, -0.17442559908523167, -0.9846608266138133, 0.004332079865357208
 40, 13, 0.03591373549956227, -0.1880413500006431, -0.9821504385881473, 0.004578937763887714
 40, 14, 0.03904041689152752, -0.2015454246314613, -0.9794673916988116, 0.004803166544120482
 40, 15, 0.042250822007232375, -0.2149645288547466, -0.9766090345436249, 0.005004496180978679
 40, 16, 0.04555194105049285, -0.22833060941945754, -0.9735698593307143, 0.005182837534811131
 40, 17, 0.04895097220745771, -0.24168071208102934, -0.9703411443139487, 0.0053382637161702735
